[LOW] 10.0.1.138 | TCP | Risk=0.73 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=1.47 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=2.2 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=0.37 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=0.73 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=2.93 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=3.72 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=4.46 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=5.2 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=5.95 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=1.1 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=1.47 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=6.69 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=1.86 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=2.23 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=7.43 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=2.6 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=2.97 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=8.18 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=3.35 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=3.72 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=8.92 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=4.09 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=4.46 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=9.66 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=4.83 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=5.2 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=5.58 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=10.41 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=11.15 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=11.89 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=12.64 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=13.38 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=14.12 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=5.95 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=0.73 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=1.47 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=2.2 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=2.93 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=3.72 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=4.46 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=5.2 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=14.87 | ML=Benign | Normal
[MEDIUM] 10.0.1.138 | UDP | Risk=45.6 | ML=Benign | Normal
[MEDIUM] 10.0.1.138 | UDP | Risk=46.33 | ML=Benign | Normal
[MEDIUM] 10.0.1.138 | UDP | Risk=47.07 | ML=Benign | Normal
[MEDIUM] 10.0.1.138 | UDP | Risk=47.8 | ML=Benign | Normal
[MEDIUM] 10.0.1.138 | UDP | Risk=48.53 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=5.95 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=6.69 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=7.43 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=8.18 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=8.92 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=9.66 | ML=Benign | Normal
[MEDIUM] 10.0.1.138 | UDP | Risk=49.27 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=10.41 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=11.15 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=50.0 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=11.89 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=12.64 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=50.73 | ML=Benign | Normal
[LOW] 192.178.211.84 | UDP | Risk=13.38 | ML=Benign | Normal
[LOW] 10.0.1.206 | UDP | Risk=0.73 | ML=Benign | Normal
[HIGH] 10.0.1.138 | TCP | Risk=51.47 | ML=Benign | Normal
[HIGH] 10.0.1.138 | TCP | Risk=52.2 | ML=Benign | Normal
[LOW] 10.0.0.56 | UDP | Risk=0.73 | ML=Benign | Normal
[HIGH] 10.0.1.138 | TCP | Risk=52.6 | ML=Benign | Normal
[LOW] 172.64.148.235 | TCP | Risk=0.73 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=53.0 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=53.4 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=53.8 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=54.2 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=54.6 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=55.0 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=55.4 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=55.8 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=56.2 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=56.6 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=57.0 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=57.4 | ML=Benign | Normal
